"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL15","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL102","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL23","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL25","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL55","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL64","BABC",4,1,0.235294117647059,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL17","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL169","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"KL54","BAES",1,1,0.0106382978723404,0.05,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL62","BAES",2,1,0.0212765957446809,0.05,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL106","BAES",1,1,0.0106382978723404,0.05,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL30","BAES",1,1,0.0106382978723404,0.05,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL2","BAES",1,1,0.0106382978723404,0.05,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL112","BAES",1,1,0.0106382978723404,0.05,94,20,"Ethiopia","Eastern Africa","BARNARDS"
"KL52","BANK",2,1,0.125,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"KL31","BANK",2,1,0.125,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"KL46","BANK",1,1,0.0625,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"KL102","BANK",1,1,0.0625,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"KL13","BANK",1,1,0.0625,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"KL137","BANK",1,1,0.0625,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"KL48","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL25","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL122","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL155","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL39","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL23","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL108","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"KL18","BAPP",1,1,0.0333333333333333,0.05,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL24","BAPP",1,1,0.0333333333333333,0.05,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL31","BAPP",1,1,0.0333333333333333,0.05,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL64","BAPP",1,1,0.0333333333333333,0.05,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL14","BAPP",1,1,0.0333333333333333,0.05,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL25","BARK",1,1,0.0666666666666667,0.0909090909090909,15,11,"Rwanda","Eastern Africa","BARNARDS"
"KL122","BARK",2,1,0.133333333333333,0.0909090909090909,15,11,"Rwanda","Eastern Africa","BARNARDS"
"KL9","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"KL12","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"KL122","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"KL30","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"KL8","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"KL14","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"KL151","SPINZ_Lusaka",1,1,0.0034965034965035,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL39","SPINZ_Lusaka",5,1,0.0174825174825175,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL2","SPINZ_Lusaka",1,1,0.0034965034965035,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL14","SPINZ_Lusaka",1,1,0.0034965034965035,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL127","SPINZ_Lusaka",9,1,0.0314685314685315,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL67","SPINZ_Lusaka",1,1,0.0034965034965035,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL54","SPINZ_Lusaka",3,1,0.0104895104895105,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL24","SPINZ_Lusaka",1,1,0.0034965034965035,0.0333333333333333,286,30,"Zambia","Eastern Africa","SPINZ"
"KL62","HOSPITAL 1",2,1,0.04,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL28","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL16","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL112","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL108","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL30","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL7","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"KL57","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL143","Kilifi",2,1,0.0119047619047619,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL24","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL122","Kiambu sub-County Hospital",2,1,0.0434782608695652,0.166666666666667,46,6,"Kenya","Eastern Africa","NeoBAC"
"KL64","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL54","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL139","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL20","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL157","Kiambu sub-County Hospital",29,1,0.630434782608696,0.166666666666667,46,6,"Kenya","Eastern Africa","NeoBAC"
"KL30","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL46","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL62","Mbagathi",1,1,0.05,0.111111111111111,20,9,"Kenya","Eastern Africa","NeoBAC"
"KL106","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL151","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL109","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL104","Kilifi",5,1,0.0297619047619048,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL163","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL141","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL49","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL43","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL19","Kilifi",4,1,0.0238095238095238,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL180","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL123","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL28","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL38","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL47","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL55","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL144","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL2","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL36","AKU_Karachi",2,1,0.0588235294117647,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL14","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL105","AKU_Karachi",2,1,0.0588235294117647,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL19","AKU_Karachi",2,1,0.0588235294117647,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL54","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL52","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL114","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL22","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL10","AKU_Hyderabaad",1,1,0.0769230769230769,0.142857142857143,13,7,"Pakistan","Southern Asia","AKU"
"KL155","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL64","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL17","AKU_Hyderabaad",1,1,0.0769230769230769,0.142857142857143,13,7,"Pakistan","Southern Asia","AKU"
"KL24","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL64","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL48","AKU_Hyderabaad",1,1,0.0769230769230769,0.142857142857143,13,7,"Pakistan","Southern Asia","AKU"
"KL3","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL10","AKU_Quetta",2,1,0.2,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL81","AKU_Karachi",2,1,0.0588235294117647,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL109","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL146","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL36","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"KL112","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"KL112","AIDH2",1,1,0.0294117647058824,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"KL145","AIDH2",6,1,0.176470588235294,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"KL15","AIDH2",6,1,0.176470588235294,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"KL9","AIDH2",1,1,0.0294117647058824,0.0833333333333333,34,12,"India","Southern Asia","AIIMS"
"KL3","MBTygerberg Hospital",1,1,0.1,0.111111111111111,10,9,"South Africa","Southern Africa","MBIRA"
"KL19","MBTygerberg Hospital",1,1,0.1,0.111111111111111,10,9,"South Africa","Southern Africa","MBIRA"
"KL62","MBTygerberg Hospital",1,1,0.1,0.111111111111111,10,9,"South Africa","Southern Africa","MBIRA"
"KL102","MBTygerberg Hospital",1,1,0.1,0.111111111111111,10,9,"South Africa","Southern Africa","MBIRA"
"KL35","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL127","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL19","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL17","MBKorle Bu Hospital",5,1,0.192307692307692,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL18","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL21","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL169","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL39","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL122","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL62","MBKorle Bu Hospital",2,1,0.0769230769230769,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL10","MBKorle Bu Hospital",1,1,0.0384615384615385,0.0588235294117647,26,17,"Ghana","Western Africa","MBIRA"
"KL110","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL20","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL179","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL55","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL38","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL35","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL23","MBUniversity Teaching Hospital",2,1,0.105263157894737,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL25","MBUniversity Teaching Hospital",1,1,0.0526315789473684,0.0769230769230769,19,13,"Zambia","Eastern Africa","MBIRA"
"KL102","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL30","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL39","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL38","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL19","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL20","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL122","MBQueen Elizabeth Central Hospital",1,1,0.0454545454545455,0.0555555555555556,22,18,"Malawi","Eastern Africa","MBIRA"
"KL54","MBKilimanjaro Christian Medical Centre",1,1,0.0175438596491228,0.142857142857143,57,7,"Tanzania","Eastern Africa","MBIRA"
"KL17","MBKilimanjaro Christian Medical Centre",1,1,0.0175438596491228,0.142857142857143,57,7,"Tanzania","Eastern Africa","MBIRA"
"KL102","MBKilimanjaro Christian Medical Centre",1,1,0.0175438596491228,0.142857142857143,57,7,"Tanzania","Eastern Africa","MBIRA"
"KL62","MBKilimanjaro Christian Medical Centre",1,1,0.0175438596491228,0.142857142857143,57,7,"Tanzania","Eastern Africa","MBIRA"
