"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL18","Kilifi",3,3,0.0178571428571429,0.0267857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"KL23","Mbagathi",4,3,0.2,0.333333333333333,20,9,"Kenya","Eastern Africa","NeoBAC"
"KL51","AKU_Karachi",3,3,0.0882352941176471,0.1,34,30,"Pakistan","Southern Asia","AKU"
"KL25","AKU_Karachi",3,3,0.0882352941176471,0.1,34,30,"Pakistan","Southern Asia","AKU"
"KL30","MBTygerberg Hospital",4,3,0.4,0.333333333333333,10,9,"South Africa","Southern Africa","MBIRA"
"KL15","MBUniversity Teaching Hospital",6,3,0.31578947368421,0.230769230769231,19,13,"Zambia","Eastern Africa","MBIRA"
"KL2","MBQueen Elizabeth Central Hospital",4,3,0.181818181818182,0.166666666666667,22,18,"Malawi","Eastern Africa","MBIRA"
"KL104","MBKilimanjaro Christian Medical Centre",53,3,0.929824561403509,0.428571428571429,57,7,"Tanzania","Eastern Africa","MBIRA"
"KL62","BGHOSPITAL 4",4,2,0.181818181818182,0.181818181818182,22,11,"South Africa","Southern Africa","BabyGERMS"
"KL62","BGHOSPITAL 1",3,2,0.0882352941176471,0.142857142857143,34,14,"South Africa","Southern Africa","BabyGERMS"
"KL149","BGHOSPITAL 3",3,2,0.125,0.1,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL102","BGHOSPITAL 3",2,2,0.0833333333333333,0.1,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL8","BGHOSPITAL 2",4,2,0.142857142857143,0.125,28,16,"South Africa","Southern Africa","BabyGERMS"
"KL149","BGHOSPITAL 1",17,2,0.5,0.142857142857143,34,14,"South Africa","Southern Africa","BabyGERMS"
"KL149","BGHOSPITAL 4",6,2,0.272727272727273,0.181818181818182,22,11,"South Africa","Southern Africa","BabyGERMS"
"KL17","BGHOSPITAL 3",2,2,0.0833333333333333,0.1,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL39","BGHOSPITAL 3",2,2,0.0833333333333333,0.1,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL14","Blantyre",2,2,0.00552486187845304,0.0151515151515152,362,132,"Malawi","Eastern Africa","MLW"
"KL28","Blantyre",2,2,0.00552486187845304,0.0151515151515152,362,132,"Malawi","Eastern Africa","MLW"
"KL13","Blantyre",2,2,0.00552486187845304,0.0151515151515152,362,132,"Malawi","Eastern Africa","MLW"
"KL49","Blantyre",4,2,0.0110497237569061,0.0151515151515152,362,132,"Malawi","Eastern Africa","MLW"
