"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"O5","Kilifi",18,8,0.107142857142857,0.0714285714285714,168,112,"Kenya","Eastern Africa","Kilifi"
"O1.v2","MBKorle Bu Hospital",9,8,0.346153846153846,0.470588235294118,26,17,"Ghana","Western Africa","MBIRA"
"O1.v1","BGHOSPITAL 3",7,7,0.291666666666667,0.35,24,20,"South Africa","Southern Africa","BabyGERMS"
"O5","HOSPITAL 1",9,7,0.18,0.225806451612903,50,31,"South Africa","Southern Africa","GBS"
"O1.v2","HOSPITAL 1",18,7,0.36,0.225806451612903,50,31,"South Africa","Southern Africa","GBS"
"O1.v2","BGHOSPITAL 1",7,6,0.205882352941176,0.428571428571429,34,14,"South Africa","Southern Africa","BabyGERMS"
"O1.v2","BGHOSPITAL 3",6,6,0.25,0.3,24,20,"South Africa","Southern Africa","BabyGERMS"
"O2a.v1","CHRFDSH",6,6,0.0236220472440945,0.0779220779220779,254,77,"Bangladesh","Southern Asia","CHRF"
"O1.v2","BANN",7,6,0.205882352941176,0.24,34,25,"Nigeria","Western Africa","BARNARDS"
"O1.v1","SPINZ_Lusaka",8,6,0.027972027972028,0.214285714285714,286,28,"Zambia","Eastern Africa","SPINZ"
"O1.v1","HOSPITAL 1",8,6,0.16,0.193548387096774,50,31,"South Africa","Southern Africa","GBS"
"O1.v1","Mbagathi",16,6,0.8,0.666666666666667,20,9,"Kenya","Eastern Africa","NeoBAC"
"O1.v1","AKU_Karachi",6,6,0.176470588235294,0.2,34,30,"Pakistan","Southern Asia","AKU"
"O2afg.v2","BGHOSPITAL 5",10,5,0.476190476190476,0.357142857142857,21,14,"South Africa","Southern Africa","BabyGERMS"
"O1.v1","BGHOSPITAL 2",11,5,0.392857142857143,0.3125,28,16,"South Africa","Southern Africa","BabyGERMS"
"O4","CHRFCMOSH",5,5,0.277777777777778,0.357142857142857,18,14,"Bangladesh","Southern Asia","CHRF"
"OL13","Kilifi",5,5,0.0297619047619048,0.0446428571428571,168,112,"Kenya","Eastern Africa","Kilifi"
"O2a.v1","Kilifi",5,5,0.0297619047619048,0.0446428571428571,168,112,"Kenya","Eastern Africa","Kilifi"
"O1.v2","MBTygerberg Hospital",6,5,0.6,0.555555555555556,10,9,"South Africa","Southern Africa","MBIRA"
"O2afg.v2","BGHOSPITAL 6",4,4,0.285714285714286,0.333333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"O1.v1","BGHOSPITAL 5",5,4,0.238095238095238,0.285714285714286,21,14,"South Africa","Southern Africa","BabyGERMS"
"O5","BGHOSPITAL 4",8,4,0.363636363636364,0.363636363636364,22,11,"South Africa","Southern Africa","BabyGERMS"
"O4","BGHOSPITAL 2",10,4,0.357142857142857,0.25,28,16,"South Africa","Southern Africa","BabyGERMS"
"O3b","BABC",4,4,0.235294117647059,0.285714285714286,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O2afg.v2","BAES",10,4,0.106382978723404,0.19047619047619,94,21,"Ethiopia","Eastern Africa","BARNARDS"
"O1.v1","BANK",4,4,0.25,0.307692307692308,16,13,"Nigeria","Western Africa","BARNARDS"
"O2afg.v2","BANN",4,4,0.117647058823529,0.16,34,25,"Nigeria","Western Africa","BARNARDS"
"O2afg.v2","BARK",5,4,0.333333333333333,0.333333333333333,15,12,"Rwanda","Eastern Africa","BARNARDS"
"O1.v1","BARK",6,4,0.4,0.333333333333333,15,12,"Rwanda","Eastern Africa","BARNARDS"
"O1.v1","Kiambu sub-County Hospital",15,4,0.326086956521739,0.666666666666667,46,6,"Kenya","Eastern Africa","NeoBAC"
"O4","AKU_Karachi",5,4,0.147058823529412,0.133333333333333,34,30,"Pakistan","Southern Asia","AKU"
"O1.v2","AIDH2",9,4,0.264705882352941,0.333333333333333,34,12,"India","Southern Asia","AIIMS"
"O1.v2","MBKilimanjaro Christian Medical Centre",54,4,0.947368421052632,0.571428571428571,57,7,"Tanzania","Eastern Africa","MBIRA"
