locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
KL25,AKU_Karachi,3,3,0.09375,0.107142857142857,32,28,Pakistan,Southern Asia
KL30,MBTygerberg Hospital,4,3,0.666666666666667,0.6,6,5,South Africa,Southern Africa
KL15,MBUniversity Teaching Hospital,6,3,0.375,0.272727272727273,16,11,Zambia,Eastern Africa
KL2,MBQueen Elizabeth Central Hospital,4,3,0.2,0.1875,20,16,Malawi,Eastern Africa
KL104,MBKilimanjaro Christian Medical Centre,53,3,0.929824561403509,0.428571428571429,57,7,Tanzania,Eastern Africa
KL62,BGHOSPITAL 4,4,2,0.210526315789474,0.222222222222222,19,9,South Africa,Southern Africa
KL62,BGHOSPITAL 1,3,2,0.0909090909090909,0.153846153846154,33,13,South Africa,Southern Africa
KL102,BGHOSPITAL 6,2,2,0.181818181818182,0.222222222222222,11,9,South Africa,Southern Africa
KL149,BGHOSPITAL 3,3,2,0.15,0.125,20,16,South Africa,Southern Africa
KL8,BGHOSPITAL 2,4,2,0.181818181818182,0.166666666666667,22,12,South Africa,Southern Africa
KL149,BGHOSPITAL 1,17,2,0.515151515151515,0.153846153846154,33,13,South Africa,Southern Africa
KL149,BGHOSPITAL 4,6,2,0.31578947368421,0.222222222222222,19,9,South Africa,Southern Africa
KL39,BGHOSPITAL 3,2,2,0.1,0.125,20,16,South Africa,Southern Africa
KL24,PMH_Botswana,2,2,0.142857142857143,0.25,14,8,Botswana,Southern Africa
KL10,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,Malawi,Eastern Africa
KL28,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,Malawi,Eastern Africa
KL13,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,Malawi,Eastern Africa
KL43,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,Malawi,Eastern Africa
KL64,CHRFDSH,4,2,0.015748031496063,0.025974025974026,254,77,Bangladesh,Southern Asia
KL3,CHRFDSH,2,2,0.0078740157480315,0.025974025974026,254,77,Bangladesh,Southern Asia
KL112,CHRFDSH,2,2,0.0078740157480315,0.025974025974026,254,77,Bangladesh,Southern Asia
KL15,CHRFKWMCH,8,2,0.5,0.2,16,10,Bangladesh,Southern Asia
KL54,CHRFDSH,9,2,0.0354330708661417,0.025974025974026,254,77,Bangladesh,Southern Asia
KL122,CHRFDSH,5,2,0.0196850393700787,0.025974025974026,254,77,Bangladesh,Southern Asia
KL36,CHRFDSH,6,2,0.0236220472440945,0.025974025974026,254,77,Bangladesh,Southern Asia
KL17,CHRFDSH,3,2,0.0118110236220472,0.025974025974026,254,77,Bangladesh,Southern Asia
KL128,BABC,2,2,0.153846153846154,0.2,13,10,Bangladesh,Southern Asia
KL24,BAES,3,2,0.032967032967033,0.1,91,20,Ethiopia,Eastern Africa
KL15,BAES,26,2,0.285714285714286,0.1,91,20,Ethiopia,Eastern Africa
KL39,BAES,8,2,0.0879120879120879,0.1,91,20,Ethiopia,Eastern Africa
