locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O1.v1,MBKilimanjaro Christian Medical Centre,2,2,0.0350877192982456,0.285714285714286,57,7,Tanzania,Eastern Africa
O5,BGHOSPITAL 1,2,1,0.0606060606060606,0.0769230769230769,33,13,South Africa,Southern Africa
O3b,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,South Africa,Southern Africa
O4,BGHOSPITAL 3,2,1,0.1,0.0625,20,16,South Africa,Southern Africa
O5,BGHOSPITAL 5,2,1,0.0952380952380952,0.0714285714285714,21,14,South Africa,Southern Africa
O4,BGHOSPITAL 6,2,1,0.181818181818182,0.111111111111111,11,9,South Africa,Southern Africa
O1.v1,BGHOSPITAL 1,1,1,0.0303030303030303,0.0769230769230769,33,13,South Africa,Southern Africa
O2a.v1,BGHOSPITAL 3,1,1,0.05,0.0625,20,16,South Africa,Southern Africa
O5,BGHOSPITAL 3,4,1,0.2,0.0625,20,16,South Africa,Southern Africa
O2afg.v2,BGHOSPITAL 2,1,1,0.0454545454545455,0.0833333333333333,22,12,South Africa,Southern Africa
O3b,BGHOSPITAL 6,2,1,0.181818181818182,0.111111111111111,11,9,South Africa,Southern Africa
O3/O3a,PMH_Botswana,2,1,0.142857142857143,0.125,14,8,Botswana,Southern Africa
O2afg.v2,PMH_Botswana,2,1,0.142857142857143,0.125,14,8,Botswana,Southern Africa
O3/O3a,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,Malawi,Eastern Africa
O1.v3,Blantyre,4,1,0.0133333333333333,0.0099009900990099,300,101,Malawi,Eastern Africa
O2afg.v2,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,Bangladesh,Southern Asia
O1.v2,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,Bangladesh,Southern Asia
O2afg.v2,CHRFKWMCH,1,1,0.0625,0.1,16,10,Bangladesh,Southern Asia
O5,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,Bangladesh,Southern Asia
O1.v2,CHRFKWMCH,1,1,0.0625,0.1,16,10,Bangladesh,Southern Asia
O1.v1,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,Bangladesh,Southern Asia
O3b,CHRFKWMCH,1,1,0.0625,0.1,16,10,Bangladesh,Southern Asia
O5,CHRFKWMCH,1,1,0.0625,0.1,16,10,Bangladesh,Southern Asia
O1.v1,CHRFKWMCH,1,1,0.0625,0.1,16,10,Bangladesh,Southern Asia
OL13,CHRFCMOSH,3,1,0.1875,0.0833333333333333,16,12,Bangladesh,Southern Asia
O2afg.v2,BABC,1,1,0.0769230769230769,0.1,13,10,Bangladesh,Southern Asia
O1.v2,BABC,1,1,0.0769230769230769,0.1,13,10,Bangladesh,Southern Asia
O5,BABC,1,1,0.0769230769230769,0.1,13,10,Bangladesh,Southern Asia
O3/O3a,BABC,1,1,0.0769230769230769,0.1,13,10,Bangladesh,Southern Asia
O12,BAES,1,1,0.010989010989011,0.0476190476190476,91,21,Ethiopia,Eastern Africa
OL13,BANK,2,1,0.285714285714286,0.166666666666667,7,6,Nigeria,Western Africa
O12,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,Pakistan,Southern Asia
O2a.v1,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,Pakistan,Southern Asia
O3/O3a,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,Pakistan,Southern Asia
O3b,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,Pakistan,Southern Asia
O1.v2,BAZAT,1,1,0.142857142857143,0.142857142857143,7,7,South Africa,Southern Africa
O4,SPINZ_Lusaka,1,1,0.00350877192982456,0.0357142857142857,285,28,Zambia,Eastern Africa
O4,HOSPITAL 1,1,1,0.0222222222222222,0.037037037037037,45,27,South Africa,Southern Africa
O3/O3a,AIIMSJP,1,1,0.0344827586206897,0.0588235294117647,29,17,India,Southern Asia
OL13,AIIMSJP,1,1,0.0344827586206897,0.0588235294117647,29,17,India,Southern Asia
OL103,AIIMSJP,1,1,0.0344827586206897,0.0588235294117647,29,17,India,Southern Asia
OL13,AIIMSKM,1,1,0.05,0.0625,20,16,India,Southern Asia
O3b,AIIMSKM,1,1,0.05,0.0625,20,16,India,Southern Asia
O1.v2,Kiambu sub-County Hospital,2,1,0.0465116279069767,0.166666666666667,43,6,Kenya,Eastern Africa
O2a.v1,Kiambu sub-County Hospital,26,1,0.604651162790698,0.166666666666667,43,6,Kenya,Eastern Africa
