locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL19,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL8,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL57,BAES,9,3,0.0989010989010989,0.15,91,20,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
KL102,BANN,3,3,0.0909090909090909,0.125,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL102,BARK,4,3,0.285714285714286,0.272727272727273,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
KL23,SPINZ_Lusaka,26,3,0.0912280701754386,0.1,285,30,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
KL19,KEM-MUMBAI,3,3,0.142857142857143,0.176470588235294,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
KL23,Kilifi,3,3,0.0206896551724138,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL122,Kilifi,10,3,0.0689655172413793,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL39,Kilifi,4,3,0.0275862068965517,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL16,Kilifi,6,3,0.0413793103448276,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL3,Kilifi,6,3,0.0413793103448276,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL23,Mbagathi,4,3,0.2,0.333333333333333,20,9,2021,2022,20,9,Kenya,NeoBAC,Eastern Africa
KL51,AKU_Karachi,3,3,0.09375,0.107142857142857,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL25,AKU_Karachi,3,3,0.09375,0.107142857142857,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL15,MBUniversity Teaching Hospital,6,3,0.333333333333333,0.25,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
KL2,MBQueen Elizabeth Central Hospital,4,3,0.19047619047619,0.176470588235294,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
KL104,MBKilimanjaro Christian Medical Centre,53,3,0.929824561403509,0.428571428571429,57,7,2021,2021,57,7,Tanzania,MBIRA,Eastern Africa
KL62,BGHOSPITAL 4,4,2,0.210526315789474,0.222222222222222,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
KL62,BGHOSPITAL 1,3,2,0.0909090909090909,0.153846153846154,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL102,BGHOSPITAL 6,2,2,0.181818181818182,0.222222222222222,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
KL149,BGHOSPITAL 3,3,2,0.15,0.125,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL8,BGHOSPITAL 2,4,2,0.181818181818182,0.166666666666667,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
KL149,BGHOSPITAL 1,17,2,0.515151515151515,0.153846153846154,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL149,BGHOSPITAL 4,6,2,0.31578947368421,0.222222222222222,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
KL39,BGHOSPITAL 3,2,2,0.1,0.125,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL43,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL10,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL28,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL13,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL64,CHRFDSH,4,2,0.015748031496063,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL3,CHRFDSH,2,2,0.0078740157480315,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL112,CHRFDSH,2,2,0.0078740157480315,0.025974025974026,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
