locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
KL24,CHRFDSH,1,1,0.00416666666666667,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL149,CHRFDSH,3,1,0.0125,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL62,CHRFDSH,18,1,0.075,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL15,CHRFKWMCH,7,1,0.777777777777778,0.333333333333333,9,3,Bangladesh,Southern Asia
KL155,CHRFDSH,1,1,0.00416666666666667,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL25,CHRFKWMCH,1,1,0.111111111111111,0.333333333333333,9,3,Bangladesh,Southern Asia
KL30,CHRFDSH,1,1,0.00416666666666667,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL141,CHRFDSH,1,1,0.00416666666666667,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL171,CHRFDSH,2,1,0.00833333333333333,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL64,CHRFKWMCH,1,1,0.111111111111111,0.333333333333333,9,3,Bangladesh,Southern Asia
KL183,CHRFDSH,1,1,0.00416666666666667,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL140,CHRFDSH,1,1,0.00416666666666667,0.0149253731343284,240,67,Bangladesh,Southern Asia
KL81,CHRFCMOSH,3,1,0.25,0.125,12,8,Bangladesh,Southern Asia
KL64,BABC,4,1,0.666666666666667,0.333333333333333,6,3,Bangladesh,Southern Asia
KL116,BANK,1,1,0.5,0.5,2,2,Nigeria,Western Africa
KL15,BANK,1,1,0.5,0.5,2,2,Nigeria,Western Africa
KL102,BANN,1,1,0.0476190476190476,0.0833333333333333,21,12,Nigeria,Western Africa
KL116,BANN,2,1,0.0952380952380952,0.0833333333333333,21,12,Nigeria,Western Africa
KL108,BANN,1,1,0.0476190476190476,0.0833333333333333,21,12,Nigeria,Western Africa
KL117,BAPP,3,1,0.130434782608696,0.0769230769230769,23,13,Pakistan,Southern Asia
KL24,BAPP,1,1,0.0434782608695652,0.0769230769230769,23,13,Pakistan,Southern Asia
KL64,BAPP,1,1,0.0434782608695652,0.0769230769230769,23,13,Pakistan,Southern Asia
KL149,HOSPITAL 1,1,1,0.125,0.125,8,8,South Africa,Southern Africa
KL30,HOSPITAL 1,1,1,0.125,0.125,8,8,South Africa,Southern Africa
KL112,AIIMSJP,3,1,0.111111111111111,0.0666666666666667,27,15,India,Southern Asia
KL10,AIIMSJP,1,1,0.037037037037037,0.0666666666666667,27,15,India,Southern Asia
KL52,AIIMSJP,1,1,0.037037037037037,0.0666666666666667,27,15,India,Southern Asia
KL136,AIIMSJP,1,1,0.037037037037037,0.0666666666666667,27,15,India,Southern Asia
KL62,AIIMSJP,1,1,0.037037037037037,0.0666666666666667,27,15,India,Southern Asia
KL30,AIIMSJP,1,1,0.037037037037037,0.0666666666666667,27,15,India,Southern Asia
KL64,AIIMSJP,1,1,0.037037037037037,0.0666666666666667,27,15,India,Southern Asia
KL47,AIIMSKM,1,1,0.0526315789473684,0.0666666666666667,19,15,India,Southern Asia
KL127,AIIMSKM,1,1,0.0526315789473684,0.0666666666666667,19,15,India,Southern Asia
KL125,AIIMSKM,2,1,0.105263157894737,0.0666666666666667,19,15,India,Southern Asia
KL38,AIIMSKM,1,1,0.0526315789473684,0.0666666666666667,19,15,India,Southern Asia
KL20,AIIMSKM,1,1,0.0526315789473684,0.0666666666666667,19,15,India,Southern Asia
KL25,AIIMSKM,1,1,0.0526315789473684,0.0666666666666667,19,15,India,Southern Asia
KL2,AIIMSKM,2,1,0.105263157894737,0.0666666666666667,19,15,India,Southern Asia
KL143,Kilifi,1,1,1,1,1,1,Kenya,Eastern Africa
KL62,Mbagathi,1,1,1,1,1,1,Kenya,Eastern Africa
KL144,AKU_Karachi,1,1,0.032258064516129,0.037037037037037,31,27,Pakistan,Southern Asia
KL2,AKU_Karachi,1,1,0.032258064516129,0.037037037037037,31,27,Pakistan,Southern Asia
KL36,AKU_Karachi,2,1,0.0645161290322581,0.037037037037037,31,27,Pakistan,Southern Asia
KL14,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,Pakistan,Southern Asia
KL105,AKU_Karachi,2,1,0.0645161290322581,0.037037037037037,31,27,Pakistan,Southern Asia
KL19,AKU_Karachi,2,1,0.0645161290322581,0.037037037037037,31,27,Pakistan,Southern Asia
KL54,AKU_Karachi,1,1,0.032258064516129,0.037037037037037,31,27,Pakistan,Southern Asia
