locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O5,Blantyre,4,3,0.0110497237569061,0.0309278350515464,362,97,Malawi,Eastern Africa
O5,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
O3/O3a,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,Bangladesh,Southern Asia
O4,CHRFKWMCH,9,3,0.529411764705882,0.272727272727273,17,11,Bangladesh,Southern Asia
O3b,BABC,4,3,0.235294117647059,0.230769230769231,17,13,Bangladesh,Southern Asia
O1.v1,BABC,6,3,0.352941176470588,0.230769230769231,17,13,Bangladesh,Southern Asia
O1.v1,BARK,6,3,0.4,0.333333333333333,15,9,Rwanda,Eastern Africa
O2a.v1,SPINZ_Lusaka,5,3,0.0174825174825175,0.130434782608696,286,23,Zambia,Eastern Africa
O1.v1,KEM-MUMBAI,5,3,0.227272727272727,0.2,22,15,India,Southern Asia
O1.v1,Kiambu sub-County Hospital,15,3,0.326086956521739,0.6,46,5,Kenya,Eastern Africa
O2afg.v2,AKU_Karachi,4,3,0.117647058823529,0.12,34,25,Pakistan,Southern Asia
O2a.v1,AKU_Quetta,3,3,0.3,0.375,10,8,Pakistan,Southern Asia
O1.v2,AIDH2,9,3,0.264705882352941,0.3,34,10,India,Southern Asia
O4,MBUniversity Teaching Hospital,6,3,0.31578947368421,0.230769230769231,19,13,Zambia,Eastern Africa
O1.v1,MBHiwot Fa Hospital,3,3,0.1,0.25,30,12,Ethiopia,Eastern Africa
OL13,MBHiwot Fa Hospital,3,3,0.1,0.25,30,12,Ethiopia,Eastern Africa
O2afg.v2,MBQueen Elizabeth Central Hospital,3,3,0.136363636363636,0.230769230769231,22,13,Malawi,Eastern Africa
O2afg.v2,BGHOSPITAL 3,3,2,0.125,0.117647058823529,24,17,South Africa,Southern Africa
O1.v1,BGHOSPITAL 4,5,2,0.227272727272727,0.333333333333333,22,6,South Africa,Southern Africa
O2a.v1,BGHOSPITAL 3,2,2,0.0833333333333333,0.117647058823529,24,17,South Africa,Southern Africa
O4,BGHOSPITAL 1,17,2,0.5,0.222222222222222,34,9,South Africa,Southern Africa
O1.v2,BGHOSPITAL 4,7,2,0.318181818181818,0.333333333333333,22,6,South Africa,Southern Africa
O2afg.v2,BGHOSPITAL 2,2,2,0.0714285714285714,0.181818181818182,28,11,South Africa,Southern Africa
O1.v1,PMH_Botswana,18,2,0.620689655172414,0.2,29,10,Botswana,Southern Africa
O1.v2,PMH_Botswana,2,2,0.0689655172413793,0.2,29,10,Botswana,Southern Africa
O5,PMH_Botswana,3,2,0.103448275862069,0.2,29,10,Botswana,Southern Africa
O3/O3a,Blantyre,2,2,0.00552486187845304,0.0206185567010309,362,97,Malawi,Eastern Africa
O2a.v1,CHRFCMOSH,4,2,0.222222222222222,0.142857142857143,18,14,Bangladesh,Southern Asia
O1.v2,CHRFCMOSH,2,2,0.111111111111111,0.142857142857143,18,14,Bangladesh,Southern Asia
O2a.v1,CHRFKWMCH,2,2,0.117647058823529,0.181818181818182,17,11,Bangladesh,Southern Asia
O2afg.v2,BABC,2,2,0.117647058823529,0.153846153846154,17,13,Bangladesh,Southern Asia
O2afg.v2,BAES,10,2,0.106382978723404,0.166666666666667,94,12,Ethiopia,Eastern Africa
