Genome Name,Cluster,Cluster7,Cluster14,Cluster56,Cluster365,Cluster1SNP,Cluster2SNP,Cluster3SNP,Cluster5SNP,Cluster10SNP,Cluster15SNP,Cluster20SNP,Cluster25SNP,Cluster50SNP
KPS_0302,CHRF139,CHRF139,CHRF139,CHRF139,CHRF139,CHRF162,CHRF160,CHRF156,CHRF146,CHRF139,CHRF133,CHRF129,CHRF128,CHRF122
KPS_0332,CHRF139,CHRF139,CHRF139,CHRF139,CHRF139,CHRF180,CHRF176,CHRF156,CHRF146,CHRF139,CHRF133,CHRF129,CHRF128,CHRF122
KPS_0335,CHRF139,CHRF139,CHRF139,CHRF139,CHRF139,CHRF180,CHRF176,CHRF156,CHRF146,CHRF139,CHRF133,CHRF129,CHRF128,CHRF122
KPS_0303,CHRF140,CHRF140,CHRF140,CHRF140,CHRF140,CHRF164,CHRF162,CHRF158,CHRF147,CHRF140,CHRF134,CHRF130,CHRF129,CHRF123
KPS_0307,CHRF140,CHRF140,CHRF140,CHRF140,CHRF140,CHRF164,CHRF162,CHRF158,CHRF147,CHRF140,CHRF134,CHRF130,CHRF129,CHRF123
KPS_0306,CHRF141,CHRF141,CHRF141,CHRF141,CHRF141,CHRF166,CHRF163,CHRF159,CHRF148,CHRF141,CHRF135,CHRF131,CHRF130,CHRF123
KPS_0308,CHRF142,CHRF142,CHRF142,CHRF142,CHRF142,CHRF167,CHRF164,CHRF160,CHRF149,CHRF142,CHRF136,CHRF132,CHRF131,CHRF124
KPS_0310,CHRF143,CHRF143,CHRF143,CHRF143,CHRF143,CHRF168,CHRF165,CHRF161,CHRF150,CHRF143,CHRF137,CHRF133,CHRF132,CHRF125
KPS_0320,CHRF143,CHRF143,CHRF143,CHRF143,CHRF143,CHRF168,CHRF165,CHRF161,CHRF150,CHRF143,CHRF137,CHRF133,CHRF132,CHRF125
KPS_0323,CHRF143,CHRF143,CHRF143,CHRF143,CHRF143,CHRF168,CHRF165,CHRF161,CHRF150,CHRF143,CHRF137,CHRF133,CHRF132,CHRF125
KPS_0314,CHRF144,CHRF144,CHRF144,CHRF144,CHRF144,CHRF170,CHRF167,CHRF162,CHRF151,CHRF144,CHRF138,CHRF134,CHRF133,CHRF126
KPS_0317,CHRF145,CHRF145,CHRF145,CHRF145,CHRF145,CHRF173,CHRF169,CHRF164,CHRF153,CHRF145,CHRF118,CHRF114,CHRF113,CHRF107
KPS_0318,CHRF146,CHRF146,CHRF146,CHRF146,CHRF146,CHRF174,CHRF170,CHRF165,CHRF154,CHRF146,CHRF139,CHRF135,CHRF134,CHRF127
KPS_0325,CHRF147,CHRF147,CHRF147,CHRF147,CHRF147,CHRF175,CHRF171,CHRF166,CHRF155,CHRF147,CHRF140,CHRF136,CHRF135,CHRF128
KPS_0327,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF177,CHRF173,CHRF168,CHRF157,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0334,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF181,CHRF177,CHRF171,CHRF160,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0376,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF203,CHRF191,CHRF184,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0384,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF203,CHRF191,CHRF184,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0386,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF203,CHRF191,CHRF184,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0329,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0330,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0336,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0342,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0344,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF187,CHRF181,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0348,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0352,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0358,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0359,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0361,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0362,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF194,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0367,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF192,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0368,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF200,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0369,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF199,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0370,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF192,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0372,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0373,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0377,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0378,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0379,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0380,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0382,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0383,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0385,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0388,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0389,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0390,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0391,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0393,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF192,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0394,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0395,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0396,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0397,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0398,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0399,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0402,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0406,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0407,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF211,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0409,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF211,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0410,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF211,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0414,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF216,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0417,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0418,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0420,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF217,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0424,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0426,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0432,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0433,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0437,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0438,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0439,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0440,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF228,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0441,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0443,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF230,CHRF213,CHRF202,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0446,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF232,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0455,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF240,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0459,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0465,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0415,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF217,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0331,CHRF150,CHRF150,CHRF150,CHRF150,CHRF150,CHRF179,CHRF175,CHRF170,CHRF159,CHRF150,CHRF143,CHRF139,CHRF138,CHRF131
KPS_0343,CHRF150,CHRF150,CHRF150,CHRF150,CHRF150,CHRF186,CHRF175,CHRF170,CHRF159,CHRF150,CHRF143,CHRF139,CHRF138,CHRF131
KPS_0349,CHRF150,CHRF150,CHRF150,CHRF150,CHRF150,CHRF186,CHRF175,CHRF170,CHRF159,CHRF150,CHRF143,CHRF139,CHRF138,CHRF131
KPS_0350,CHRF150,CHRF150,CHRF150,CHRF150,CHRF150,CHRF186,CHRF175,CHRF170,CHRF159,CHRF150,CHRF143,CHRF139,CHRF138,CHRF131
KPS_0353,CHRF150,CHRF150,CHRF150,CHRF150,CHRF150,CHRF186,CHRF175,CHRF170,CHRF159,CHRF150,CHRF143,CHRF139,CHRF138,CHRF131
KPS_0333,CHRF151,CHRF151,CHRF151,CHRF151,CHRF151,CHRF182,CHRF178,CHRF172,CHRF161,CHRF151,CHRF144,CHRF140,CHRF139,CHRF132
KPS_0339,CHRF151,CHRF151,CHRF151,CHRF151,CHRF151,CHRF184,CHRF178,CHRF172,CHRF161,CHRF151,CHRF144,CHRF140,CHRF139,CHRF132
KPS_0341,CHRF151,CHRF151,CHRF151,CHRF151,CHRF151,CHRF184,CHRF178,CHRF172,CHRF161,CHRF151,CHRF144,CHRF140,CHRF139,CHRF132
KPS_0365,CHRF151,CHRF151,CHRF151,CHRF151,CHRF151,CHRF197,CHRF178,CHRF172,CHRF161,CHRF151,CHRF144,CHRF140,CHRF139,CHRF132
KPS_0337,CHRF152,CHRF152,CHRF152,CHRF152,CHRF152,CHRF183,CHRF179,CHRF173,CHRF162,CHRF152,CHRF145,CHRF141,CHRF140,CHRF133
KPS_0340,CHRF153,CHRF153,CHRF153,CHRF153,CHRF153,CHRF185,CHRF180,CHRF174,CHRF163,CHRF153,CHRF146,CHRF118,CHRF117,CHRF111
KPS_0357,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF192,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0366,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF198,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0400,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF207,CHRF195,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0403,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF208,CHRF196,CHRF188,CHRF177,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0345,CHRF154,CHRF154,CHRF154,CHRF154,CHRF154,CHRF188,CHRF182,CHRF175,CHRF164,CHRF154,CHRF147,CHRF142,CHRF141,CHRF134
KPS_0346,CHRF155,CHRF155,CHRF155,CHRF155,CHRF155,CHRF189,CHRF183,CHRF176,CHRF165,CHRF155,CHRF148,CHRF143,CHRF142,CHRF135
KPS_0347,CHRF156,CHRF156,CHRF156,CHRF156,CHRF156,CHRF190,CHRF184,CHRF177,CHRF166,CHRF156,CHRF149,CHRF144,CHRF143,CHRF136
KPS_0351,CHRF157,CHRF157,CHRF157,CHRF157,CHRF157,CHRF191,CHRF185,CHRF178,CHRF167,CHRF157,CHRF150,CHRF145,CHRF144,CHRF137
KPS_0360,CHRF158,CHRF158,CHRF158,CHRF158,CHRF158,CHRF193,CHRF186,CHRF179,CHRF168,CHRF158,CHRF151,CHRF146,CHRF145,CHRF138
KPS_0363,CHRF159,CHRF159,CHRF159,CHRF159,CHRF159,CHRF195,CHRF187,CHRF180,CHRF169,CHRF159,CHRF152,CHRF138,CHRF137,CHRF130
KPS_0364,CHRF160,CHRF160,CHRF160,CHRF160,CHRF160,CHRF196,CHRF188,CHRF181,CHRF170,CHRF160,CHRF153,CHRF147,CHRF146,CHRF139
KPS_0371,CHRF161,CHRF161,CHRF161,CHRF161,CHRF161,CHRF201,CHRF189,CHRF182,CHRF171,CHRF161,CHRF154,CHRF148,CHRF147,CHRF140
KPS_0375,CHRF162,CHRF162,CHRF162,CHRF162,CHRF162,CHRF202,CHRF190,CHRF183,CHRF172,CHRF162,CHRF155,CHRF149,CHRF148,CHRF141
KPS_0431,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF225,CHRF210,CHRF199,CHRF185,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0448,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF233,CHRF215,CHRF204,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0450,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF235,CHRF217,CHRF206,CHRF189,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0458,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF242,CHRF215,CHRF204,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0460,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF242,CHRF215,CHRF204,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0462,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF242,CHRF215,CHRF204,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0489,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0492,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0531,CHRF149,CHRF149,CHRF149,CHRF149,CHRF149,CHRF178,CHRF174,CHRF169,CHRF158,CHRF149,CHRF142,CHRF138,CHRF137,CHRF130
KPS_0381,CHRF163,CHRF163,CHRF163,CHRF163,CHRF163,CHRF204,CHRF192,CHRF185,CHRF174,CHRF163,CHRF156,CHRF150,CHRF149,CHRF142
KPS_0387,CHRF163,CHRF163,CHRF163,CHRF163,CHRF163,CHRF204,CHRF192,CHRF185,CHRF174,CHRF163,CHRF156,CHRF150,CHRF149,CHRF142
KPS_0554,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF274,CHRF242,CHRF229,CHRF209,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0563,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF274,CHRF242,CHRF229,CHRF209,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0567,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF280,CHRF246,CHRF232,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0392,CHRF164,CHRF164,CHRF164,CHRF164,CHRF164,CHRF205,CHRF193,CHRF186,CHRF175,CHRF164,CHRF157,CHRF151,CHRF150,CHRF143
KPS_0401,CHRF165,CHRF165,CHRF165,CHRF165,CHRF165,CHRF206,CHRF194,CHRF187,CHRF176,CHRF165,CHRF158,CHRF152,CHRF151,CHRF144
KPS_0404,CHRF166,CHRF166,CHRF166,CHRF166,CHRF166,CHRF209,CHRF197,CHRF189,CHRF178,CHRF166,CHRF159,CHRF153,CHRF152,CHRF107
KPS_0405,CHRF167,CHRF167,CHRF167,CHRF167,CHRF167,CHRF210,CHRF198,CHRF190,CHRF179,CHRF167,CHRF158,CHRF152,CHRF151,CHRF144
KPS_0408,CHRF168,CHRF168,CHRF168,CHRF168,CHRF168,CHRF212,CHRF199,CHRF191,CHRF180,CHRF168,CHRF160,CHRF154,CHRF153,CHRF145
KPS_0411,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF213,CHRF200,CHRF192,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0413,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF215,CHRF202,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0479,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF252,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0486,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF253,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0495,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF252,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0412,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF214,CHRF201,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0423,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF221,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0434,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF226,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0436,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF226,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0477,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF251,CHRF201,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0493,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF226,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0508,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF226,CHRF206,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0557,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF275,CHRF243,CHRF230,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0416,CHRF169,CHRF169,CHRF169,CHRF169,CHRF169,CHRF218,CHRF203,CHRF193,CHRF181,CHRF169,CHRF161,CHRF155,CHRF154,CHRF146
KPS_0419,CHRF170,CHRF170,CHRF170,CHRF170,CHRF170,CHRF219,CHRF204,CHRF194,CHRF182,CHRF170,CHRF162,CHRF156,CHRF155,CHRF147
KPS_0421,CHRF170,CHRF170,CHRF170,CHRF170,CHRF170,CHRF220,CHRF205,CHRF195,CHRF182,CHRF170,CHRF162,CHRF156,CHRF155,CHRF147
KPS_0425,CHRF170,CHRF170,CHRF170,CHRF170,CHRF170,CHRF220,CHRF205,CHRF195,CHRF182,CHRF170,CHRF162,CHRF156,CHRF155,CHRF147
KPS_0427,CHRF170,CHRF170,CHRF170,CHRF170,CHRF170,CHRF222,CHRF207,CHRF196,CHRF182,CHRF170,CHRF162,CHRF156,CHRF155,CHRF147
KPS_0428,CHRF170,CHRF170,CHRF170,CHRF170,CHRF170,CHRF220,CHRF205,CHRF195,CHRF182,CHRF170,CHRF162,CHRF156,CHRF155,CHRF147
KPS_0429,CHRF171,CHRF171,CHRF171,CHRF171,CHRF171,CHRF223,CHRF208,CHRF197,CHRF183,CHRF171,CHRF163,CHRF157,CHRF156,CHRF148
KPS_0430,CHRF172,CHRF172,CHRF172,CHRF172,CHRF172,CHRF224,CHRF209,CHRF198,CHRF184,CHRF172,CHRF164,CHRF158,CHRF157,CHRF149
KPS_0469,CHRF172,CHRF172,CHRF172,CHRF172,CHRF172,CHRF245,CHRF209,CHRF198,CHRF184,CHRF172,CHRF164,CHRF158,CHRF157,CHRF149
KPS_0537,CHRF172,CHRF172,CHRF172,CHRF172,CHRF172,CHRF245,CHRF209,CHRF198,CHRF184,CHRF172,CHRF164,CHRF158,CHRF157,CHRF149
KPS_0545,CHRF172,CHRF172,CHRF172,CHRF172,CHRF172,CHRF245,CHRF209,CHRF198,CHRF184,CHRF172,CHRF164,CHRF158,CHRF157,CHRF149
KPS_0547,CHRF172,CHRF172,CHRF172,CHRF172,CHRF172,CHRF245,CHRF209,CHRF198,CHRF184,CHRF172,CHRF164,CHRF158,CHRF157,CHRF149
KPS_0444,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF231,CHRF214,CHRF203,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0560,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF276,CHRF244,CHRF231,CHRF210,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
KPS_0435,CHRF173,CHRF173,CHRF173,CHRF173,CHRF173,CHRF227,CHRF211,CHRF200,CHRF186,CHRF173,CHRF165,CHRF159,CHRF158,CHRF150
KPS_0442,CHRF174,CHRF174,CHRF174,CHRF174,CHRF174,CHRF229,CHRF212,CHRF201,CHRF187,CHRF174,CHRF166,CHRF160,CHRF159,CHRF151
KPS_0476,CHRF174,CHRF174,CHRF174,CHRF174,CHRF174,CHRF250,CHRF229,CHRF218,CHRF187,CHRF174,CHRF166,CHRF160,CHRF159,CHRF151
KPS_0471,CHRF148,CHRF148,CHRF148,CHRF148,CHRF148,CHRF246,CHRF225,CHRF214,CHRF173,CHRF148,CHRF141,CHRF137,CHRF136,CHRF129
