Study,Unique Countries,Unique Sites,Isolates included,Unique K loci,Unique O types
AKU,1,3,57,26,9
BARNARDS,6,7,218,37,10
BabyGERMS,1,6,143,24,8
CHRF,1,3,289,41,10
DH,1,1,34,8,8
GBS-COP,1,1,50,12,6
Kilifi,1,1,168,43,10
MBIRA,6,6,164,31,9
MLW,1,1,362,35,10
NIMBIplus,1,1,29,8,7
NeoBAC,1,2,66,5,3
NeoOBS-India,1,2,64,26,9
SPINZ,1,1,286,13,7
